<<<<<<< HEAD
IDX,Revenue
1,102.99
2,99.15
3,115.15
4,100.77
5,51.11
6,118.1
7,93.56
8,117.75
9,116.38
10,115.07
11,107.65
12,103.84
13,51.42
14,96.95
15,108.77
16,122.66
17,102.33
18,128.79
19,62.63
20,59.13
21,98.97
22,110.28
23,123.08
24,113.23
25,100.73
26,123.08
27,121.3
28,117.76
29,115.88
30,52.35
31,112.73
32,93.28
33,91.89
34,108.64
35,105.52
36,101.63
37,97.75
38,98.29
39,54.8
40,109.02
41,105.67
42,97.1
43,118.1
44,99.11
45,109.58
46,102.93
47,128.5
48,99
49,106.15
50,120.22
51,113.72
52,121.06
53,117.57
54,63.82
55,106.97
56,105.49
57,125.17
58,124.82
59,123.27
60,122.49
61,92.23
62,128.84
63,116.85
64,120.97
65,102.49
66,102.54
67,122.28
68,117.26
69,103.97
70,58.16
71,112.71
72,101.56
73,103.98
74,106.77
75,57.44
76,104.98
77,95.66
78,119.74
79,63.16
80,96.46
81,107.37
82,101.77
83,120.71
84,102.66
85,116.73
86,105.98
87,117.11
88,98.25
89,93.34
90,100.73
91,102.43
92,104.86
93,121.46
94,125.1
95,124.21
96,118.9
97,98.99
98,65.01
99,122.5
100,104.95
101,105.41
102,118.88
103,124.89
104,102.57
105,112.47
106,111.99
107,110.04
108,109.55
109,116.83
110,111.1
111,120.5
112,98.58
113,123.95
114,59.18
115,117.76
116,103.15
117,56.95
118,97.73
119,104.13
120,102.23
121,124.17
122,104.74
123,55.57
124,123.46
125,106.74
126,104.27
127,57.42
128,100.88
129,106
130,120.21
131,101.42
132,101.66
133,116.6
134,106.83
135,102.52
136,102.12
137,118.66
138,57.34
139,110.59
140,65.43
141,125.93
142,93.18
143,99.3
144,99.91
145,104.43
146,111.19
147,102.14
148,92.19
149,102.99
150,118.38
151,102.32
152,99.31
153,101.73
154,54.14
155,40.04
156,61.29
157,123.52
158,102.47
159,88.05
160,101.19
161,100.97
162,44.64
163,102.27
164,106.32
165,46.33
166,66.8
167,111.77
168,94.88
169,95.42
170,115.63
171,116.59
172,116.97
173,104.74
174,62.02
175,126.38
176,99.06
177,95.33
178,102.15
179,56.77
180,122.5
181,44.95
182,100.8
183,97.6
184,101.91
185,94.07
186,59.54
187,57.81
188,111.45
189,103.57
190,48.53
191,116.38
192,56.19
193,58.51
194,97.87
195,67.38
196,115.82
197,101.41
198,114.32
199,113.75
200,107.43
201,111.14
202,104.49
203,15.72
204,114.72
205,116.36
206,62.74
207,68.6
208,42.66
209,97.72
210,94.72
211,103.91
212,63.3
213,106.65
214,95.82
215,114.01
216,95.61
217,105.59
218,102.47
219,66.27
220,121.15
221,96.64
222,123.47
223,103.47
224,107.14
225,61.35
226,100.31
227,98.02
228,106.96
229,102.46
230,54.73
231,126.82
232,96.67
233,112.15
234,112.76
235,91.75
236,29.5
237,107.7
238,59.72
239,40.53
240,121.55
241,57.77
242,97.41
243,49.37
244,55.86
245,61.79
246,103.59
247,113.72
248,100.07
249,102.75
250,102.5
251,110.51
252,25.54
253,103.14
254,99.14
255,100.1
256,60.46
257,63.53
258,101.26
259,103.06
260,100.24
261,46.9
262,56.77
263,106.69
264,56.04
265,57.05
266,47.35
267,102.98
268,112.61
269,111.5
270,62.69
271,109.64
272,95.22
273,97
274,112.75
275,119.01
276,120.8
277,100.35
278,98.24
279,63.14
280,37.78
281,60.77
282,103.56
283,103.12
284,106.07
285,63.58
286,102.15
287,103.24
288,110.81
289,105.4
290,101.53
291,60.6
292,49.13
293,105.18
294,124.95
295,101.33
296,128.15
297,107.74
298,99.09
299,111.41
300,107.63
301,96.9
302,102.58
303,117.85
304,95.95
305,89.37
306,61.99
307,119.41
308,92.09
309,102.52
310,121.95
311,101.2
312,99.21
313,96.32
314,57.84
315,121.37
316,102.36
317,106.46
318,46.3
319,100.16
320,99.61
321,101.17
322,119.51
323,109.49
324,127.81
325,102.12
326,100.03
327,99.35
328,110.76
329,128.49
330,99.85
331,119.36
332,62.15
333,103.81
334,103.5
335,105.18
336,104.56
337,111.44
338,102.49
339,59.4
340,111.93
341,56.96
342,110.77
343,58.84
344,122.72
345,109.32
346,118.45
347,108.75
348,58.77
349,119.94
350,119.61
351,94.43
352,112.76
353,104.78
354,117.76
355,119.72
356,90.43
357,104.41
358,104.21
359,101.45
360,44.7
361,64.99
362,52.36
363,100.53
364,109.68
365,103.68
366,111.68
367,95.72
368,103.7
369,47.87
370,106.66
371,124.33
372,101.51
373,67.21
374,101.17
375,55.3
376,61.99
377,95.09
378,97.01
379,101.34
380,103.12
381,102.53
382,101.4
383,100.05
384,100.82
385,119.07
386,97.28
387,111.95
388,104.26
389,124.75
390,98.11
391,109.26
392,105.06
393,102.07
394,121.54
395,105.47
396,66.03
397,99.01
398,96.58
399,120.53
400,109.86
401,62.27
402,102.95
403,111.19
404,98.16
405,119.65
406,113.23
407,55.64
408,118.98
409,126.87
410,105.93
411,121.86
412,105.75
413,99.22
414,114.02
415,114.05
416,102.3
417,102.28
418,97.26
419,101.02
420,45.94
421,103.66
422,122.05
423,102.1
424,96.37
425,116.04
426,103.24
427,95.42
428,52.55
429,101.19
430,100.37
431,113.62
432,110.31
433,115.93
434,114.53
435,91.06
436,102.52
437,104.16
438,97.48
439,58.38
440,98.7
441,98.26
442,100.57
443,104.67
444,103.68
445,58.3
446,63.72
447,54.46
448,115.79
449,104.27
450,114.31
451,93.41
452,106.99
453,117.71
454,105.14
455,110.59
456,105.21
457,109.55
458,93.65
459,54.26
460,102.41
461,121.9
462,102.16
463,119.9
464,105.58
465,101.72
466,108.25
467,105.18
468,123.29
469,100.5
470,48.16
471,117.49
472,105.84
473,108.86
474,104.53
475,96.02
476,99.7
